X_int_1	Y_int_1	Cond.1[mS/m]	Inph.1[ppt]	X_int_2	Y_int_2	Cond.2[mS/m]	Inph.2[ppt]	X_int_3	Y_int_3	Cond.3[mS/m]	Inph.3[ppt]	Num fich	b et p	Base	Profil
397631.8241	5315629.5589	13.58	-0.03	397632.0078	5315629.6242	22.46	-0.25	397632.2292	5315629.703	26.58	-0.19	2	103	0	98
397631.3235	5315629.366	11.35	-0.07	397631.5058	5315629.4351	22.34	-0.24	397631.7255	5315629.5183	27.53	-0.19	2	103	0	98
397630.6111	5315629.0641	11.58	-0.05	397630.792	5315629.137	21.3	-0.23	397631.01	5315629.2247	27.35	-0.21	2	103	0	98
397629.8966	5315628.7891	13.9	-0.02	397630.0787	5315628.8587	23.5	-0.22	397630.2982	5315628.9427	28.3	-0.13	2	103	0	98
397629.4277	5315628.6314	11.36	-0.05	397629.611	5315628.698	22.43	-0.19	397629.8319	5315628.7781	28.1	-0.14	2	103	0	98
397628.9597	5315628.4616	12.11	-0.03	397629.143	5315628.5281	22.31	-0.21	397629.3639	5315628.6083	28.3	-0.15	2	103	0	98
397628.491	5315628.3078	16.39	-0.05	397628.6757	5315628.3701	26.13	-0.25	397628.8984	5315628.4452	29.83	-0.11	2	103	0	98
397627.7857	5315628.1038	12.87	-0.03	397627.9718	5315628.1619	23.91	-0.17	397628.1961	5315628.232	29.05	-0.11	2	103	0	98
397627.081	5315627.885	11.93	-0.02	397627.2672	5315627.9428	22.11	-0.19	397627.4917	5315628.0124	28.26	-0.13	2	103	0	98
397626.5878	5315627.7342	15.56	-0.03	397626.7741	5315627.7917	26.25	-0.23	397626.9987	5315627.8609	30.48	-0.1	2	103	0	98
397626.0946	5315627.5821	11.36	-0.07	397626.2809	5315627.6396	24.4	-0.24	397626.5055	5315627.7088	29.66	-0.19	2	103	0	98
397625.6014	5315627.4275	11.4	-0.06	397625.7875	5315627.4856	21.86	-0.24	397626.0118	5315627.5557	27.76	-0.15	2	103	0	98
397624.8641	5315627.1915	15.61	-0.03	397625.0501	5315627.2504	25.18	-0.23	397625.2741	5315627.3213	29.7	-0.13	2	103	0	98
397624.127	5315626.9525	9.52	-0.08	397624.3124	5315627.0128	23.13	-0.22	397624.5359	5315627.0855	29.15	-0.14	2	103	0	98
397623.6544	5315626.7885	9.91	-0.03	397623.8393	5315626.8504	20.7	-0.18	397624.0622	5315626.9249	27.82	-0.11	2	103	0	98
397623.1816	5315626.6304	14.02	-0.02	397623.3666	5315626.6923	24.89	-0.19	397623.5894	5315626.7668	29.97	-0.09	2	103	0	98
397622.7103	5315626.451	12.0	-0.08	397622.8932	5315626.5184	24.61	-0.25	397623.1136	5315626.5995	29.31	-0.16	2	103	0	98
397622.0012	5315626.1436	11.44	-0.03	397622.182	5315626.2165	22.34	-0.15	397622.4	5315626.3043	27.93	-0.1	2	103	0	98
397621.2902	5315625.8621	14.27	-0.02	397621.4715	5315625.9338	25.72	-0.18	397621.6901	5315626.0201	30.79	-0.12	2	103	0	98
397620.8208	5315625.685	13.01	-0.06	397621.0026	5315625.7554	25.91	-0.23	397621.2218	5315625.8404	30.52	-0.16	2	103	0	98
397620.3518	5315625.5032	12.59	-0.02	397620.5337	5315625.5737	22.76	-0.16	397620.7528	5315625.6586	27.77	-0.08	2	103	0	98
397619.8825	5315625.3268	14.44	-0.03	397620.0648	5315625.3959	25.54	-0.21	397620.2846	5315625.4792	30.5	-0.09	2	103	0	98
397619.1793	5315625.0721	10.49	-0.1	397619.3621	5315625.1397	25.19	-0.26	397619.5825	5315625.2213	30.16	-0.19	2	103	0	98
397618.4757	5315624.8422	13.39	-0.02	397618.6611	5315624.902	24.05	-0.16	397618.8846	5315624.974	28.51	-0.07	2	103	0	98
397617.9978	5315624.7411	14.78	-0.05	397618.1858	5315624.7929	26.29	-0.18	397618.4123	5315624.8553	30.52	-0.08	2	103	0	98
397617.5206	5315624.6096	13.51	-0.07	397617.7086	5315624.6614	25.84	-0.24	397617.9352	5315624.7239	30.13	-0.14	2	103	0	98
397617.0443	5315624.447	13.89	-0.02	397617.2297	5315624.507	23.89	-0.18	397617.4531	5315624.5792	28.41	-0.07	2	103	0	98
397616.3271	5315624.1481	11.71	-0.07	397616.5098	5315624.2162	24.01	-0.18	397616.73	5315624.2983	29.01	-0.08	2	103	0	98
397615.6093	5315623.8769	11.98	-0.1	397615.7917	5315623.9459	24.54	-0.28	397616.0115	5315624.0291	29.49	-0.21	2	103	0	98
397615.1375	5315623.6922	14.34	-0.02	397615.3195	5315623.7621	24.92	-0.15	397615.5389	5315623.8463	28.7	-0.06	2	103	0	98
397614.6654	5315623.5109	14.26	-0.03	397614.8474	5315623.5808	25.46	-0.17	397615.0668	5315623.6651	29.86	-0.09	2	103	0	98
397614.1927	5315623.3391	13.77	-0.06	397614.3756	5315623.4065	25.72	-0.22	397614.5961	5315623.4878	30.14	-0.13	2	103	0	98
397613.5162	5315623.1094	14.55	-0.02	397613.7001	5315623.1745	25.03	-0.16	397613.9216	5315623.2528	28.62	-0.06	2	103	0	98
397612.8403	5315622.8738	13.58	-0.02	397613.0244	5315622.9379	23.96	-0.16	397613.2463	5315623.0152	28.62	-0.06	2	103	0	98
397612.3615	5315622.713	14.64	-0.03	397612.546	5315622.7763	25.15	-0.18	397612.7683	5315622.8525	29.64	-0.1	2	103	0	98
397611.883	5315622.5489	15.16	-0.03	397612.0674	5315622.6122	25.47	-0.16	397612.2897	5315622.6884	29.55	-0.05	2	103	0	98
397611.4044	5315622.3847	12.61	-0.03	397611.5888	5315622.448	25.25	-0.15	397611.8111	5315622.5242	31.22	-0.05	2	103	0	98
397610.7161	5315622.1483	12.5	-0.03	397610.9005	5315622.2116	25.97	-0.19	397611.1228	5315622.2879	32.04	-0.12	2	103	0	98
397610.0279	5315621.9072	17.74	-0.03	397610.212	5315621.9718	29.99	-0.21	397610.4337	5315622.0496	33.31	-0.07	2	103	0	98
397609.582	5315621.7426	13.63	-0.06	397609.7656	5315621.8084	28.08	-0.16	397609.9868	5315621.8876	32.59	-0.08	2	103	0	98
397609.1358	5315621.5827	12.11	-0.03	397609.3194	5315621.6485	25.98	-0.21	397609.5406	5315621.7277	32.46	-0.16	2	103	0	98
397608.6892	5315621.4302	15.64	-0.02	397608.8735	5315621.4941	28.33	-0.23	397609.0955	5315621.571	31.6	-0.2	2	103	0	98
397607.9891	5315621.2034	11.51	-0.07	397608.174	5315621.2653	24.71	-0.28	397608.3969	5315621.3399	29.44	-0.27	2	103	0	98
397607.2897	5315621.002	12.01	-0.07	397607.4771	5315621.0552	23.91	-0.34	397607.7029	5315621.1194	29.1	-0.33	2	103	0	98
397606.8076	5315620.9217	15.67	-0.05	397606.9975	5315620.9662	27.51	-0.24	397607.2263	5315621.0199	30.71	-0.19	2	103	0	98
397606.3253	5315620.8086	13.29	-0.03	397606.5151	5315620.8531	24.56	-0.19	397606.7439	5315620.9068	28.65	-0.12	2	103	0	98
397605.8426	5315620.6902	12.5	-0.02	397606.0322	5315620.7362	22.78	-0.19	397606.2605	5315620.7915	28.24	-0.14	2	103	0	98
397605.114	5315620.5028	14.39	-0.03	397605.3032	5315620.5501	24.04	-0.23	397605.5311	5315620.6072	28.16	-0.11	2	103	0	98
